	Gene
UPF0236	6
zinc_ribbon_2	6
cmr4gr7,cmr4gr7	6
COG4584,TetR_C_11	6
TyrS	6
IspH	6
InsE	6
DDE_Tnp_ISL3	6
DUF772,DDE_Tnp_1_6	6
DUF772	5
EcCS_like	5
EzrA	5
AcetylCoA_hydro,AcetylCoA_hyd_C	5
HspQ	5
RpoN	5
ANT	5
2OG-FeII_Oxy_2	5
tm_4	5
THDPS_M,LbH_THP_succinylT_putative	5
MetAP1	5
AAA_30,UvrD_C_2	5
PTC1	5
MFS	5
NDPk_I	5
Glutenin_hmw,HdeD	5
TPH	5
HTH_Tnp_4,DDE_Tnp_4	5
BaeS	5
IclR	5
ProRS_core_prok,ProRS-INS,ProS	5
ZorD	5
cas6e,cas6e	5
GajB/UvrD	5
DUF772,DDE_Tnp_1_2	5
Acetyltransf_3	5
icity0081	5
COG2856	5
M13	5
HTH_32,DDE_3	5
HxlR	5
HU-DNA_bdg,Bvu_2165_C_like	5
HTH_23	5
CLECT_VCBS	5
ZorD/Mrr_cat	5
TniQ,TnsD	5
DDE_Tnp_1_assoc,YhhI,YhhI	5
AraC,YdeE	5
DUF805	5
MAE_01690	5
RT_Bac_retron_II	5
pfam08843	5
cas13c	5
MoxR	5
ExeA	5
COG3415	5
DDE_Tnp_1_3	5
YjbI	5
DUF4351	5
FhuE	5
GppA	5
YbbA	5
PrtC	5
LmuB	5
DsrC	5
ThsA	5
cas5,cas8b2	4
DUF2861	4
Glyco_hydro_129	4
OafA	4
Rve	4
DUF2331	4
CAAX	4
PIN_MT3492-like	4
SR_ResInv,HTH_Hin_like	4
pfam09954	4
Smc	4
PotE	4
DUF4096,DDE_Tnp_1_2	4
Acetyltransf_1	4
COG1192	4
JetD	4
SDR_c	4
COG4585	4
cas3,cas8e	4
YdiL	4
Efp,Elong-fact-P_C	4
Fer4_12	4
COG3666,DDE_Tnp_1_6	4
ZnMc_serralysin_like	4
DUF3290	4
YcaP	4
ESPR,Haemagg_act,Fil_haemagg_2,Fil_haemagg_2	4
LpqC	4
FucP	4
cas12b1	4
UPF0227	4
ZorE	4
cas8b10	4
Arc	4
Transposase_20	4
N6_N4_Mtase	4
csx1,KR_3_FAS_SDR_x	4
PIN_LabA	4
cas8b4	4
HomoserineK_II	4
UDP_GE_SDE_e	4
Unk_06	4
INT_RitB_C_like	4
csx10gr5,Glyco_trans_4_4	4
D-AAT_like	4
csx25	4
Creatinase_N_2,APP	4
Methyltransf_21	4
cmr7	4
Tn7_Tnp_TnsA_N,Tn7_Tnp_TnsA_C,rve,Mu-transpos_C	4
APP	4
DinI	4
AAA_28	4
DNA_BRE_C	4
DUF45	4
DUF962	4
Acetyltransf_10	4
HamB/DruE	4
SIR2H	4
UgpE	4
Phage_AlpA	4
FGGY_EcGK_like	4
HTH_23,HTH_33,DDE_3	4
cas5a	4
DHH_CorA	4
AsnS	4
LexA	4
Mem_04	4
Methylase_S,Methylase_S	4
BLMA_like	4
PBP2_CrgA_like_4	4
YhaK	4
YcaC_related	4
MFS_1	4
FimD	4
YedE	4
Peptidase_S51	4
HSP70_NBD	4
Endonuclease_DUF559	4
ERM	3
HTH_ARSR,MNT	3
MATE_Wzx_like	3
EndoU_bacteria	3
PulE	3
COG3943,Fic	3
cas6,cas1	3
COG2159	3
COG4637	3
DUF4276	3
Methyltransf_19	3
LacAB_rpiB	3
DUF3404,HATPase_c_2	3
csm5gr7,TPH	3
UPF0158	3
HTH_XRE,COG2856	3
UPF0175	3
COG0610	3
pfam01724	3
COG2189	3
GsiA	3
INT_ICEBs1_C_like	3
Tyr_Deacylase	3
Ntox47	3
GIY-YIG_UPF0213	3
InsA,InsB	3
GGCT_like	3
BarS	3
GabT	3
FhaC	3
ACS	3
PurM-like1	3
CcmA	3
BcsA	3
WrbA	3
FHA	3
HATPase_c_2	3
FtsI	3
COG1479,DUF1524	3
Nif11	3
DHquinase_II	3
RHH_1	3
AccB	3
UgpA	3
YesN	3
RacX	3
AccC	3
PrmA	3
DusA	3
Fis	3
HNHc	3
COG1715	3
SEC-C	3
InsA	3
Methyltransf_24	3
YciW	3
YHI9	3
csx1,LuxR_C_like	3
DUF711	3
RnaY,cas3	3
YegI	3
vWA_subfamily	3
PP2C_2	3
SufI	3
YbaB_DNA_bd	3
PIN_MtVapC3-like_start	3
PHD,UPF0175	3
Ribonuc_L-PSP	3
TauD	3
GrsT	3
cas8b8	3
cas8u1,cas8u1	3
Ribosomal_L21p,Hc1	3
RpmA	3
NadF	3
RecR	3
MPN_DUF2466	3
zinc_ribbon_15,FYVE_Slp3_4_5	3
JetB	3
JetC	3
Tex	3
COG5340	3
Tgt	3
DUF87,YjgR	3
Amidohydro_2	3
MobA	3
cas8a6	3
DUF3794	3
SSgr11	3
HNH_5	3
DUF4433	3
RimL	3
TatC	3
Pgk2	3
HTH_Hin_like,rve	3
JetA	3
HDc,cas10	3
PT-VENN	3
SpoT	3
zf-ISL3,DDE_Tnp_ISL3	3
DUF488	3
MazF	3
GajB/UvrD,UvrD_C_2	3
DUF4322	3
COG1475	3
Nop53	3
SpoVK	3
NifS	3
tRNA_Me_trans	3
RfaF	3
RPT1	3
Phage_holin_3_6	3
Phage_int_SAM_1,INT_RitC_C_like	3
TPR_19	3
FimC	3
CysE	3
Plasmid_Txe	3
MhpD	3
DruE	3
DDE_Tnp_1_5,DDE_Tnp_1	3
EcsC	3
TniQ,HA,HA,HA,HA,HA	3
GlpR,WYL	3
RT,GIIM	3
MqsA	3
Plasmid_killer	3
DUF1848	3
csm3gr7,csm3gr7,csm3gr7	3
ATPase_01	3
Unk_04	3
N6_Mtase	3
DUF2939	3
csx1,DUF1874	2
DegQ	2
VRR_NUC,DEDDh	2
COG4185	2
AHH	2
zf-HC3	2
